movie_name,ranking,score,score_num
肖申克的救赎,1,9.6,978770
霸王别姬,2,9.5,710778
这个杀手不太冷,3,9.4,924201
阿甘正传,4,9.4,785856
美丽人生,5,9.5,459390
千与千寻,6,9.2,735023
泰坦尼克号,7,9.2,725584
辛德勒的名单,8,9.4,418898
盗梦空间,9,9.3,828478
机器人总动员,10,9.3,543216
海上钢琴师,11,9.2,641346
三傻大闹宝莱坞,12,9.2,741683
忠犬八公的故事,13,9.2,508948
放牛班的春天,14,9.2,496455
大话西游之大圣娶亲,15,9.2,540896
教父,16,9.2,373713
龙猫,17,9.1,458038
楚门的世界,18,9.1,510545
乱世佳人,19,9.2,291705
熔炉,20,9.2,295954
触不可及,21,9.1,401119
星际穿越,22,9.2,538050
无间道,23,9.0,441699
当幸福来敲门,24,8.9,587522
天堂电影院,25,9.1,330548
怦然心动,26,8.9,609180
十二怒汉,27,9.4,185528
搏击俱乐部,28,9.0,425952
少年派的奇幻漂流,29,9.0,623399
指环王3：王者无敌,30,9.1,306345
鬼子来了,31,9.2,251219
蝙蝠侠：黑暗骑士,32,9.0,353817
活着,33,9.1,295414
天空之城,34,9.0,359244
罗马假日,35,8.9,414992
大话西游之月光宝盒,36,8.9,435854
飞屋环游记,37,8.9,538583
两杆大烟枪,38,9.1,290222
窃听风暴,39,9.1,241510
疯狂动物城,40,9.2,558508
飞越疯人院,41,9.0,294228
控方证人,42,9.6,104252
闻香识女人,43,8.9,347275
海豚湾,44,9.3,191942
哈尔的移动城堡,45,8.9,380310
V字仇杀队,46,8.8,450258
辩护人,47,9.1,226987
教父2,48,9.1,201392
死亡诗社,49,8.9,299668
美丽心灵,50,8.9,325004
指环王2：双塔奇兵,51,9.0,288568
指环王1：魔戒再现,52,8.9,322726
情书,53,8.8,400701
饮食男女,54,9.1,215437
美国往事,55,9.1,186631
天使爱美丽,56,8.7,509168
狮子王,57,8.9,300827
钢琴家,58,9.0,214827
七宗罪,59,8.7,458839
被嫌弃的松子的一生,60,8.9,309481
小鞋子,61,9.2,148321
致命魔术,62,8.8,365752
素媛,63,9.1,197122
勇敢的心,64,8.8,308977
音乐之声,65,8.9,245330
剪刀手爱德华,66,8.7,511685
本杰明·巴顿奇事,67,8.7,415493
低俗小说,68,8.8,354877
摔跤吧！爸爸,69,9.1,485924
西西里的美丽传说,70,8.7,373266
黑客帝国,71,8.8,298316
拯救大兵瑞恩,72,8.9,253803
沉默的羔羊,73,8.7,373750
入殓师,74,8.8,331926
看不见的客人,75,8.8,343911
蝴蝶效应,76,8.7,403148
玛丽和马克思,77,8.9,240800
让子弹飞,78,8.7,657671
春光乍泄,79,8.8,261865
大闹天宫,80,9.2,107333
心灵捕手,81,8.8,286798
幽灵公主,82,8.8,247937
阳光灿烂的日子,83,8.7,285067
第六感,84,8.8,246436
重庆森林,85,8.7,348631
末代皇帝,86,8.9,180357
大鱼,87,8.7,265140
禁闭岛,88,8.6,378948
狩猎,89,9.0,137275
射雕英雄传之东成西就,90,8.7,289191
布达佩斯大饭店,91,8.8,330880
甜蜜蜜,92,8.8,242757
致命ID,93,8.6,334976
一一,94,8.9,163298
阳光姐妹淘,95,8.8,282313
哈利·波特与魔法石,96,8.7,273294
告白,97,8.7,358483
断背山,98,8.6,335327
上帝之城,99,8.9,163709
加勒比海盗,100,8.6,362650
猫鼠游戏,101,8.7,239828
摩登时代,102,9.2,94261
爱在黎明破晓前,103,8.7,231342
阿凡达,104,8.6,551062
穿条纹睡衣的男孩,105,8.9,155479
风之谷,106,8.8,184142
爱在日落黄昏时,107,8.7,207273
消失的爱人,108,8.7,373275
侧耳倾听,109,8.8,176649
超脱,110,8.8,180105
萤火虫之墓,111,8.7,211725
倩女幽魂,112,8.6,265433
红辣椒,113,8.9,141264
驯龙高手,114,8.7,297137
恐怖直播,115,8.7,231985
菊次郎的夏天,116,8.7,189793
幸福终点站,117,8.6,232910
岁月神偷,118,8.6,316871
七武士,119,9.2,80054
借东西的小人阿莉埃蒂,120,8.7,225776
神偷奶爸,121,8.5,393761
海洋,122,9.0,101235
小森林 夏秋篇,123,8.9,137271
真爱至上,124,8.5,325735
杀人回忆,125,8.6,217121
电锯惊魂,126,8.7,206028
喜剧之王,127,8.5,328271
谍影重重3,128,8.7,186941
贫民窟的百万富翁,129,8.5,406983
雨人,130,8.6,216179
东邪西毒,131,8.6,259499
记忆碎片,132,8.5,288959
喜宴,133,8.8,144827
怪兽电力公司,134,8.6,250376
疯狂原始人,135,8.7,382738
燃情岁月,136,8.7,152232
黑天鹅,137,8.5,430399
虎口脱险,138,8.9,110235
英雄本色,139,8.7,171971
卢旺达饭店,140,8.8,123847
恋恋笔记本,141,8.5,292288
猜火车,142,8.5,254852
傲慢与偏见,143,8.4,312307
魂断蓝桥,144,8.8,132852
穿越时空的少女,145,8.6,190637
教父3,146,8.8,134811
7号房的礼物,147,8.7,182328
完美的世界,148,9.0,83216
海边的曼彻斯特,149,8.6,195551
萤火之森,150,8.7,163713
哈利·波特与死亡圣器(下),151,8.6,282544
纵横四海,152,8.7,151104
雨中曲,153,8.9,95512
玩具总动员3,154,8.8,197393
荒蛮故事,155,8.8,144388
小森林 冬春篇,156,8.9,119301
花样年华,157,8.5,254423
二十二,158,8.8,93281
我是山姆,159,8.8,107072
时空恋旅人,160,8.6,206850
人工智能,161,8.6,194348
超能陆战队,162,8.6,380899
唐伯虎点秋香,163,8.4,338598
浪潮,164,8.7,135695
冰川时代,165,8.4,278820
蝙蝠侠：黑暗骑士崛起,166,8.6,302133
香水,167,8.4,282508
朗读者,168,8.5,283622
心迷宫,169,8.6,167227
罗生门,170,8.7,128265
追随,171,8.9,83806
一次别离,172,8.7,135505
撞车,173,8.6,177625
爆裂鼓手,174,8.6,243757
可可西里,175,8.7,132111
